Index, action count, go forward(go), turn right, turn left, suck up,  cleaned cell(0)
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 38,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 39,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 40,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 41,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 42,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
Index: 43,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
0 0 0 0 0 0 0 0 0 0 ,,,,,,
